127.0.0.1 - - [17/Oct/2019:19:47:04 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/ HTTP/1.1" 200 19525
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 141270
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/js/index.js HTTP/1.1" 200 10144
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/css/one-page-wonder.min.css HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/plugins/ajax/ajax_helper.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/plugins/handlebars/handlebars-v4.0.5.js HTTP/1.1" 200 164193
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/dist/jquery.min.js HTTP/1.1" 200 95992
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/dist/jquery.flipster.min.js HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/css/index_menu.css HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/dist/jquery.flipster.min.css HTTP/1.1" 200 8910
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70966
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/img/03.jpg HTTP/1.1" 200 121406
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/img/02.gif HTTP/1.1" 200 169043
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/img/01.gif HTTP/1.1" 200 1815317
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:06 +0900] "GET /KH_semi/plugins/handlebars-v4.0.5.js HTTP/1.1" 200 164193
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:08 +0900] "GET /KH_semi/img/google_image.jpg HTTP/1.1" 200 75264
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:09 +0900] "GET /KH_semi/song/Maroon5.mp3 HTTP/1.1" 206 2
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:09 +0900] "GET /KH_semi/song/Maroon5.mp3 HTTP/1.1" 206 6343535
0:0:0:0:0:0:0:1 - - [17/Oct/2019:19:47:10 +0900] "GET /KH_semi/song/Maroon5.mp3 HTTP/1.1" 206 4253487
